,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
677281,AU,Australia,Victoria,City of Bayside,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2022-09-08,-12.0,-11.0,-44.0,-52.0,-30.0,9.0
677282,AU,Australia,Victoria,City of Bayside,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2022-09-09,-7.0,-10.0,-22.0,-47.0,-34.0,7.0
677283,AU,Australia,Victoria,City of Bayside,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2022-09-10,-3.0,-14.0,-28.0,-39.0,-31.0,4.0
677284,AU,Australia,Victoria,City of Bayside,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2022-09-11,-1.0,-17.0,-19.0,-48.0,-35.0,
677285,AU,Australia,Victoria,City of Bayside,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2022-09-12,-9.0,-15.0,-20.0,-58.0,-31.0,9.0
677286,AU,Australia,Victoria,City of Bayside,,,,ChIJy_H1FcNu1moROrd8SGaB1I4,2022-09-13,-12.0,-16.0,-33.0,-54.0,-31.0,9.0
678222,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-07,-24.0,-17.0,-6.0,-40.0,-27.0,8.0
678223,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-08,-26.0,-21.0,-31.0,-30.0,-26.0,9.0
678224,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-09,-19.0,-14.0,20.0,-36.0,-28.0,8.0
678225,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-10,-13.0,-17.0,-17.0,-30.0,-23.0,4.0
678226,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-11,-12.0,-18.0,1.0,-49.0,-25.0,3.0
678227,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-12,-28.0,-19.0,-17.0,-46.0,-32.0,9.0
678228,AU,Australia,Victoria,City of Boroondara,,,,ChIJo0uOpoFB1moR_Jg9IVgcPfo,2022-09-13,-27.0,-20.0,-30.0,-46.0,-30.0,9.0
679164,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-07,-9.0,5.0,3.0,-28.0,-18.0,3.0
679165,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-08,-13.0,-4.0,-17.0,-31.0,-18.0,5.0
679166,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-09,-2.0,9.0,52.0,-31.0,-14.0,3.0
679167,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-10,1.0,7.0,-17.0,-20.0,-18.0,3.0
