,Location,Date_confirmation,cases,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21
118,New South Wales,2022-05-24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,New South Wales,2022-05-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,New South Wales,2022-05-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,New South Wales,2022-05-27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,New South Wales,2022-05-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,New South Wales,2022-05-29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,New South Wales,2022-05-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,New South Wales,2022-05-31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,New South Wales,2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,New South Wales,2022-06-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,New South Wales,2022-06-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,New South Wales,2022-06-04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,New South Wales,2022-06-05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,New South Wales,2022-06-06,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,New South Wales,2022-06-07,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,New South Wales,2022-06-08,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,New South Wales,2022-06-09,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,New South Wales,2022-06-10,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
136,New South Wales,2022-06-11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
137,New South Wales,2022-06-12,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
138,New South Wales,2022-06-13,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
139,New South Wales,2022-06-14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
140,New South Wales,2022-06-15,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
141,New South Wales,2022-06-16,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
142,New South Wales,2022-06-17,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
143,New South Wales,2022-06-18,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
144,New South Wales,2022-06-19,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
145,New South Wales,2022-06-20,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
146,New South Wales,2022-06-21,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
147,New South Wales,2022-06-22,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0
148,New South Wales,2022-06-23,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1
